id,account_id,date,amount,merchant,description,mcc,source,balance
t103,a_checking,2024-05-14,-43.3,T-Mobile,MOBILE BILL,4814,synthetic,13951.5
t120,a_checking,2024-05-14,-71.03,Zelle Transfer,ZELLE TO FRIEND,6011,synthetic,13880.5
t112,a_checking,2024-05-19,-35.91,Target,TARGET #5255,5311,synthetic,13844.6
t106,a_checking,2024-05-20,-913.04,Credit Card Payment,AUTOPAY,6012,synthetic,12931.5
t109,a_credit,2024-05-25,-614.14,Best Buy,,5732,synthetic,-2841.33
t123,a_checking,2024-06-01,2330.38,Acme Inc.,PAYROLL,0,synthetic,15261.9
t138,a_checking,2024-06-02,-58.02,Shell,SHELL OIL 8997,5541,synthetic,15203.9
t125,a_checking,2024-06-03,-1585.09,Landlord,MONTHLY RENT,6513,synthetic,13618.8
t129,a_credit,2024-06-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-2854.32
t130,a_credit,2024-06-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-2862.31
t126,a_checking,2024-06-10,-77.86,Electric Co,ELECTRIC BILL,4900,synthetic,13540.9
t127,a_checking,2024-06-12,-69.85,Comcast,HOME INTERNET,4816,synthetic,13471.1
t141,a_checking,2024-06-12,-70.38,Zelle Transfer,ZELLE TO FRIEND,6011,synthetic,13400.7
t143,a_checking,2024-06-12,-3.07,Starbucks,STARBUCKS 9808,5814,synthetic,13397.6
t124,a_checking,2024-06-14,2445.74,Acme Inc.,PAYROLL,0,synthetic,15843.4
t128,a_checking,2024-06-14,-52.8,T-Mobile,MOBILE BILL,4814,synthetic,15790.6
t132,a_checking,2024-06-15,-137.69,GrocerMart,GROCERY STORE,5411,synthetic,15652.9
t142,a_checking,2024-06-15,-4.81,Starbucks,STARBUCKS 7072,5814,synthetic,15648.1
t144,a_checking,2024-06-16,-193.33,Target,TARGET #6230,5311,synthetic,15454.8
t136,a_checking,2024-06-20,-46.69,Chevron,CHEVRON OIL 3528,5541,synthetic,15408.1
t131,a_checking,2024-06-21,-610.12,Credit Card Payment,AUTOPAY,6012,synthetic,14797.9
t134,a_checking,2024-06-21,-18.17,Lyft,LYFT TRIP 6057,4121,synthetic,14779.8
t139,a_checking,2024-06-23,-17.73,Panera Bread,PANERA BREAD 1255,5812,synthetic,14762
t140,a_checking,2024-06-23,-58.04,GrocerMart,GROCERY STORE,5411,synthetic,14704
t135,a_credit,2024-06-27,-75.68,Amazon,AMZN Mktp US*C7438,5942,synthetic,-2937.99
t133,a_credit,2024-06-28,-127.13,Amazon,AMZN Mktp US*G1772,5942,synthetic,-3065.12
t137,a_checking,2024-06-29,-49.02,Target,TARGET #6340,5311,synthetic,14655
t145,a_checking,2024-07-01,2501.35,Acme Inc.,PAYROLL,0,synthetic,17156.3
t156,a_checking,2024-07-01,-53.72,Shell,SHELL OIL 2631,5541,synthetic,17102.6
t159,a_checking,2024-07-01,-46.96,GrocerMart,GROCERY STORE,5411,synthetic,17055.6
t147,a_checking,2024-07-03,-1538.97,Landlord,MONTHLY RENT,6513,synthetic,15516.7
t151,a_credit,2024-07-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-3078.11
t152,a_credit,2024-07-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-3086.1
t163,a_checking,2024-07-08,-19.72,Chipotle,CHIPOTLE 5701,5812,synthetic,15497
t157,a_credit,2024-07-09,-122.1,Amazon,AMZN Mktp US*E9563,5942,synthetic,-3208.2
t148,a_checking,2024-07-10,-82.96,Electric Co,ELECTRIC BILL,4900,synthetic,15414
t154,a_checking,2024-07-11,-32.15,Lyft,,4121,synthetic,15381.9
t162,a_checking,2024-07-11,-21.82,Chipotle,CHIPOTLE 5203,5812,synthetic,15360
t149,a_checking,2024-07-12,-63.25,Comcast,HOME INTERNET,4816,synthetic,15296.8
t161,a_checking,2024-07-12,-31.01,Local Diner,LOCAL DINER 7334,5812,synthetic,15265.8
t146,a_checking,2024-07-13,2417.23,Acme Inc.,PAYROLL,0,synthetic,17683
t150,a_checking,2024-07-14,-48.85,T-Mobile,,4814,synthetic,17634.2
t155,a_credit,2024-07-17,-213.96,Best Buy,BESTBUY #2523,5732,synthetic,-3422.16
t153,a_checking,2024-07-21,-443.95,Credit Card Payment,AUTOPAY,6012,synthetic,17190.2
t160,a_credit,2024-07-30,-89.95,Amazon,AMZN Mktp US*D7754,5942,synthetic,-3512.11
t158,a_checking,2024-07-31,-7.49,Starbucks,STARBUCKS 7201,5814,synthetic,17182.7
t176,a_checking,2024-08-02,-10.58,Panera Bread,PANERA BREAD 3830,5812,synthetic,17172.1
t164,a_checking,2024-08-03,2337.16,Acme Inc.,PAYROLL,0,synthetic,19509.3
t166,a_checking,2024-08-03,-1594.73,Landlord,MONTHLY RENT,6513,synthetic,17914.6
t183,a_checking,2024-08-03,-154.21,Target,TARGET #1978,5311,synthetic,17760.3
t184,a_checking,2024-08-03,-20.41,Chipotle,CHIPOTLE 3879,5812,synthetic,17739.9
t170,a_credit,2024-08-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-3525.1
t171,a_credit,2024-08-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-3533.09
t167,a_checking,2024-08-10,-76.48,Electric Co,ELECTRIC BILL,4900,synthetic,17663.5
t168,a_checking,2024-08-12,-57.1,Comcast,HOME INTERNET,4816,synthetic,17606.4
t169,a_checking,2024-08-14,-43.65,T-Mobile,MOBILE BILL,4814,synthetic,17562.7
t165,a_checking,2024-08-15,2515.25,Acme Inc.,PAYROLL,0,synthetic,20078
t173,a_credit,2024-08-16,-297.51,Amazon,AMZN Mktp US*G4273,5942,synthetic,-3830.6
t181,a_credit,2024-08-19,-189.37,Amazon,AMZN Mktp US*E7778,5942,synthetic,-4019.97
t179,a_checking,2024-08-20,-35.68,Shell,SHELL OIL 8697,5541,synthetic,20042.3
t177,a_checking,2024-08-22,-97.27,Target,TARGET #3921,5311,synthetic,19945
t172,a_checking,2024-08-23,-905.69,Credit Card Payment,AUTOPAY,6012,synthetic,19039.3
t175,a_credit,2024-08-24,-138.98,Amazon,AMZN Mktp US*A7462,5942,synthetic,-4158.95
t180,a_checking,2024-08-24,-90.72,GrocerMart,GROCERY STORE,5411,synthetic,18948.6
t182,a_checking,2024-08-27,-19.93,Chipotle,CHIPOTLE 8801,5812,synthetic,18928.7
t174,a_checking,2024-08-28,-3.6,Starbucks,STARBUCKS 2092,5814,synthetic,18925.1
t178,a_checking,2024-08-30,-22.7,Local Diner,LOCAL DINER 3123,5812,synthetic,18902.4
t185,a_checking,2024-09-01,2325.19,Acme Inc.,PAYROLL,0,synthetic,21227.6
t187,a_checking,2024-09-03,-1467.83,Landlord,MONTHLY RENT,6513,synthetic,19759.7
t191,a_credit,2024-09-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-4171.94
t200,a_credit,2024-09-05,-172.43,Amazon,,5942,synthetic,-4344.37
t192,a_credit,2024-09-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-4352.36
t199,a_checking,2024-09-06,-32.1,Shell,SHELL OIL 6759,5541,synthetic,19727.6
t201,a_checking,2024-09-06,-32.69,Local Diner,LOCAL DINER 6838,5812,synthetic,19694.9
t208,a_checking,2024-09-06,-162.14,Target,TARGET #9743,5311,synthetic,19532.8
t188,a_checking,2024-09-10,-87.33,Electric Co,ELECTRIC BILL,4900,synthetic,19445.5
t204,a_checking,2024-09-10,-31.27,Lyft,LYFT TRIP 8371,4121,synthetic,19414.2
t205,a_checking,2024-09-10,-47.81,Uber,UBER TRIP 4664,4121,synthetic,19366.4
t194,a_credit,2024-09-11,-99.14,Amazon,AMZN Mktp US*F7457,5942,synthetic,-4451.5
t196,a_credit,2024-09-11,-287.53,Best Buy,,5732,synthetic,-4739.03
t189,a_checking,2024-09-12,-51.15,Comcast,HOME INTERNET,4816,synthetic,19315.2
t197,a_credit,2024-09-13,-161.92,Amazon,,5942,synthetic,-4900.95
t186,a_checking,2024-09-14,2517.04,Acme Inc.,PAYROLL,0,synthetic,21832.3
t190,a_checking,2024-09-14,-46.97,T-Mobile,MOBILE BILL,4814,synthetic,21785.3
t206,a_checking,2024-09-14,-136.05,Whole Foods,,5411,synthetic,21649.3
t203,a_checking,2024-09-17,-106.17,GrocerMart,GROCERY STORE,5411,synthetic,21543.1
t202,a_checking,2024-09-18,-89.27,Zelle Transfer,ZELLE TO FRIEND,6011,synthetic,21453.8
t195,a_checking,2024-09-21,-87.82,Target,TARGET #7479,5311,synthetic,21366
t193,a_checking,2024-09-23,-418.27,Credit Card Payment,AUTOPAY,6012,synthetic,20947.7
t207,a_checking,2024-09-28,-62.56,Chevron,CHEVRON OIL 9827,5541,synthetic,20885.2
t198,a_checking,2024-09-29,178.23,Venmo,VENMO CASHIN,6011,synthetic,21063.4
t211,a_checking,2024-10-02,-1508.13,Landlord,MONTHLY RENT,6513,synthetic,19555.3
t218,a_checking,2024-10-02,-33.37,Chevron,,5541,synthetic,19521.9
t209,a_checking,2024-10-03,2562.4,Acme Inc.,PAYROLL,0,synthetic,22084.3
t215,a_credit,2024-10-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-4913.94
t216,a_credit,2024-10-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-4921.93
t223,a_checking,2024-10-07,-79.58,Target,,5311,synthetic,22004.7
t212,a_checking,2024-10-10,-73.86,Electric Co,ELECTRIC BILL,4900,synthetic,21930.9
t213,a_checking,2024-10-12,-62.0,Comcast,HOME INTERNET,4816,synthetic,21868.9
t214,a_checking,2024-10-14,-44.83,T-Mobile,MOBILE BILL,4814,synthetic,21824
t220,a_checking,2024-10-15,-89.76,Whole Foods,WHOLEFDS #1045,5411,synthetic,21734.3
t210,a_checking,2024-10-16,2378.3,Acme Inc.,PAYROLL,0,synthetic,24112.6
t222,a_credit,2024-10-19,-39.56,Amazon,,5942,synthetic,-4961.49
t227,a_checking,2024-10-19,-14.74,Chipotle,CHIPOTLE 5567,5812,synthetic,24097.8
t217,a_checking,2024-10-21,-713.73,Credit Card Payment,AUTOPAY,6012,synthetic,23384.1
t225,a_checking,2024-10-21,-24.55,Chipotle,CHIPOTLE 6537,5812,synthetic,23359.5
t219,a_checking,2024-10-25,-149.72,Whole Foods,WHOLEFDS #1045,5411,synthetic,23209.8
t221,a_checking,2024-10-26,-3.44,Starbucks,STARBUCKS 8208,5814,synthetic,23206.4
t224,a_checking,2024-10-27,-120.3,GrocerMart,GROCERY STORE,5411,synthetic,23086.1
t226,a_credit,2024-10-28,-197.89,Amazon,AMZN Mktp US*D1591,5942,synthetic,-5159.38
t228,a_checking,2024-11-01,2496.34,Acme Inc.,PAYROLL,0,synthetic,25582.4
t245,a_checking,2024-11-01,-30.1,Panera Bread,PANERA BREAD 5759,5812,synthetic,25552.3
t230,a_checking,2024-11-04,-1508.95,Landlord,MONTHLY RENT,6513,synthetic,24043.4
t234,a_credit,2024-11-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-5172.37
t235,a_credit,2024-11-06,-7.99,Netflix,,5815,synthetic,-5180.36
t237,a_checking,2024-11-06,108.5,Venmo,VENMO CASHIN,6011,synthetic,24151.9
t231,a_checking,2024-11-10,-84.24,Electric Co,ELECTRIC BILL,4900,synthetic,24067.6
t247,a_credit,2024-11-11,-134.99,Amazon,AMZN Mktp US*E7998,5942,synthetic,-5315.35
t232,a_checking,2024-11-12,-61.56,Comcast,HOME INTERNET,4816,synthetic,24006.1
t244,a_checking,2024-11-12,122.43,Venmo,VENMO CASHIN,6011,synthetic,24128.5
t233,a_checking,2024-11-14,-41.78,T-Mobile,MOBILE BILL,4814,synthetic,24086.7
t241,a_checking,2024-11-15,-6.82,Starbucks,STARBUCKS 3319,5814,synthetic,24079.9
t243,a_checking,2024-11-15,-17.16,Uber,UBER TRIP 8756,4121,synthetic,24062.7
t239,a_credit,2024-11-16,-506.31,Best Buy,BESTBUY #5859,5732,synthetic,-5821.66
t229,a_checking,2024-11-17,2374.11,Acme Inc.,PAYROLL,0,synthetic,26436.9
t240,a_checking,2024-11-19,-53.07,Chevron,CHEVRON OIL 5059,5541,synthetic,26383.8
t242,a_credit,2024-11-20,-38.16,Amazon,AMZN Mktp US*C6081,5942,synthetic,-5859.82
t238,a_checking,2024-11-22,-16.96,Chipotle,CHIPOTLE 3833,5812,synthetic,26366.8
t236,a_checking,2024-11-24,-569.95,Credit Card Payment,AUTOPAY,6012,synthetic,25796.9
t246,a_checking,2024-11-28,-38.87,Lyft,LYFT TRIP 9490,4121,synthetic,25758
t248,a_checking,2024-12-02,2478.96,Acme Inc.,PAYROLL,0,synthetic,28237
t250,a_checking,2024-12-02,-1517.1,Landlord,MONTHLY RENT,6513,synthetic,26719.9
t254,a_credit,2024-12-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-5872.81
t266,a_checking,2024-12-05,-78.97,GrocerMart,GROCERY STORE,5411,synthetic,26640.9
t255,a_credit,2024-12-06,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-5885.8
t257,a_credit,2024-12-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-5893.79
t256,a_credit,2024-12-07,12.99,Spotify,REFUND SPOTIFY,5815,synthetic,-5880.8
t265,a_checking,2024-12-08,-103.75,Whole Foods,WHOLEFDS #1045,5411,synthetic,26537.1
t251,a_checking,2024-12-10,-95.62,Electric Co,ELECTRIC BILL,4900,synthetic,26441.5
t252,a_checking,2024-12-12,-61.15,Comcast,HOME INTERNET,4816,synthetic,26380.4
t253,a_checking,2024-12-14,-36.82,T-Mobile,MOBILE BILL,4814,synthetic,26343.6
t263,a_checking,2024-12-15,-71.35,Chevron,,5541,synthetic,26272.2
t249,a_checking,2024-12-16,2426.98,Acme Inc.,PAYROLL,0,synthetic,28699.2
t259,a_checking,2024-12-20,-49.17,GrocerMart,GROCERY STORE,5411,synthetic,28650
t260,a_checking,2024-12-21,-135.81,GrocerMart,GROCERY STORE,5411,synthetic,28514.2
t262,a_checking,2024-12-22,-67.68,Target,TARGET #8992,5311,synthetic,28446.5
t261,a_checking,2024-12-23,-33.05,Lyft,,4121,synthetic,28413.5
t258,a_checking,2024-12-24,-466.58,Credit Card Payment,AUTOPAY,6012,synthetic,27946.9
t267,a_checking,2024-12-24,-150.19,GrocerMart,GROCERY STORE,5411,synthetic,27796.7
t268,a_checking,2024-12-24,-4.49,Starbucks,STARBUCKS 8199,5814,synthetic,27792.2
t264,a_checking,2024-12-31,-27.48,Uber,UBER TRIP 5778,4121,synthetic,27764.7
t279,a_checking,2025-01-01,-32.23,Lyft,LYFT TRIP 3163,4121,synthetic,27732.5
t269,a_checking,2025-01-02,2523.74,Acme Inc.,PAYROLL,0,synthetic,30256.2
t271,a_checking,2025-01-02,-1485.14,Landlord,MONTHLY RENT,6513,synthetic,28771.1
t280,a_checking,2025-01-02,-40.61,Shell,SHELL OIL 4254,5541,synthetic,28730.5
t284,a_credit,2025-01-04,-565.68,Best Buy,,5732,synthetic,-6446.48
t275,a_credit,2025-01-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-6459.47
t276,a_credit,2025-01-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-6467.46
t272,a_checking,2025-01-10,-77.25,Electric Co,ELECTRIC BILL,4900,synthetic,28653.2
t273,a_checking,2025-01-12,-60.02,Comcast,HOME INTERNET,4816,synthetic,28593.2
t281,a_checking,2025-01-12,-124.39,Target,TARGET #4869,5311,synthetic,28468.8
t270,a_checking,2025-01-13,2291.4,Acme Inc.,PAYROLL,0,synthetic,30760.2
t291,a_checking,2025-01-13,-38.23,Uber,UBER TRIP 1532,4121,synthetic,30722
t274,a_checking,2025-01-14,-43.77,T-Mobile,MOBILE BILL,4814,synthetic,30678.2
t290,a_checking,2025-01-16,-27.5,Uber,UBER TRIP 5469,4121,synthetic,30650.7
t292,a_checking,2025-01-18,-216.88,Target,TARGET #5416,5311,synthetic,30433.9
t277,a_checking,2025-01-20,-469.53,Credit Card Payment,AUTOPAY,6012,synthetic,29964.3
t278,a_checking,2025-01-20,-3.07,Starbucks,STARBUCKS 9173,5814,synthetic,29961.3
t282,a_checking,2025-01-21,-12.35,Chipotle,CHIPOTLE 5113,5812,synthetic,29948.9
