id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source,balance
t75,u_demo,a_checking,2024-02-16,-217.06,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,8501.19
t66,u_demo,a_checking,2024-02-17,-7.37,Starbucks,STARBUCKS 2853,coffee,false,5814,synthetic,8493.82
t69,u_demo,a_checking,2024-02-17,-5.74,Starbucks,STARBUCKS 1698,coffee,false,5814,synthetic,8488.08
t73,u_demo,a_checking,2024-02-17,-208.66,City Dental,CITY DENTAL,healthcare,false,8011,synthetic,8279.42
t55,u_demo,a_checking,2024-02-19,-105.46,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,8173.96
t67,u_demo,a_checking,2024-02-20,-4.13,Starbucks,STARBUCKS 2291,coffee,false,5814,synthetic,8169.83
t65,u_demo,a_checking,2024-02-22,-6.16,Starbucks,STARBUCKS 2495,coffee,false,5814,synthetic,8163.67
t61,u_demo,a_checking,2024-02-23,-18.16,Local Diner,LOCAL DINER 8392,restaurants,false,5812,synthetic,8145.51
t62,u_demo,a_checking,2024-02-27,-19.14,Panera Bread,PANERA BREAD 6864,restaurants,false,5812,synthetic,8126.37
t70,u_demo,a_checking,2024-02-28,-28.16,Lyft,LYFT TRIP 1854,rideshare,false,4121,synthetic,8098.21
t103,u_demo,a_checking,2024-03-01,-5.29,Starbucks,STARBUCKS 5555,coffee,false,5814,synthetic,8092.92
t77,u_demo,a_checking,2024-03-01,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,10592.9
t96,u_demo,a_checking,2024-03-01,-14.85,Panera Bread,PANERA BREAD 2648,restaurants,false,5812,synthetic,10578.1
t79,u_demo,a_checking,2024-03-02,-1500.0,Landlord,MONTHLY RENT,housing,true,6513,synthetic,9078.07
t99,u_demo,a_checking,2024-03-02,-5.02,Starbucks,STARBUCKS 3869,coffee,false,5814,synthetic,9073.05
t107,u_demo,a_checking,2024-03-04,-203.71,Venmo,VENMO CASHOUT,transfer,false,6011,synthetic,8869.34
t86,u_demo,a_checking,2024-03-04,-93.65,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,8775.69
t83,u_demo,a_credit,2024-03-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic,755
t84,u_demo,a_credit,2024-03-06,-7.99,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic,747.01
t97,u_demo,a_checking,2024-03-06,-10.28,Panera Bread,PANERA BREAD 9445,restaurants,false,5812,synthetic,8765.41
t85,u_demo,a_credit,2024-03-07,-2.99,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic,744.02
t102,u_demo,a_checking,2024-03-08,-5.96,Starbucks,STARBUCKS 2218,coffee,false,5814,synthetic,8759.45
t88,u_demo,a_checking,2024-03-09,-81.74,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,8677.71
t80,u_demo,a_checking,2024-03-10,-80.0,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic,8597.71
t91,u_demo,a_checking,2024-03-10,-63.0,Shell,SHELL OIL 1262,gas,false,5541,synthetic,8534.71
t108,u_demo,a_checking,2024-03-12,-143.99,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,8390.72
t81,u_demo,a_checking,2024-03-12,-60.0,Comcast,HOME INTERNET,internet,true,4816,synthetic,8330.72
t105,u_demo,a_credit,2024-03-13,-163.35,Amazon,AMZN Mktp US*H4354,shopping,false,5942,synthetic,580.67
t101,u_demo,a_checking,2024-03-14,-6.36,Starbucks,STARBUCKS 5911,coffee,false,5814,synthetic,8324.36
t82,u_demo,a_checking,2024-03-14,-45.0,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic,8279.36
t78,u_demo,a_checking,2024-03-15,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,10779.4
t95,u_demo,a_checking,2024-03-16,-22.14,Local Diner,LOCAL DINER 7295,restaurants,false,5812,synthetic,10757.2
t89,u_demo,a_checking,2024-03-18,-109.19,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic,10648
t87,u_demo,a_checking,2024-03-19,-54.14,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,10593.9
t106,u_demo,a_credit,2024-03-21,-182.53,Target,TARGET #8022,shopping,false,5311,synthetic,398.14
t104,u_demo,a_checking,2024-03-23,-46.21,Lyft,LYFT TRIP 7893,rideshare,false,4121,synthetic,10547.7
t94,u_demo,a_checking,2024-03-23,-31.01,Chipotle,CHIPOTLE 4170,restaurants,false,5812,synthetic,10516.7
t90,u_demo,a_checking,2024-03-25,-132.85,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,10383.8
t92,u_demo,a_checking,2024-03-26,-79.81,Chevron,CHEVRON OIL 3049,gas,false,5541,synthetic,10304
t100,u_demo,a_checking,2024-03-29,-3.08,Starbucks,STARBUCKS 9352,coffee,false,5814,synthetic,10300.9
t93,u_demo,a_checking,2024-03-30,-75.02,Chevron,CHEVRON OIL 5548,gas,false,5541,synthetic,10225.9
t98,u_demo,a_checking,2024-03-30,-10.15,Local Diner,LOCAL DINER 3200,restaurants,false,5812,synthetic,10215.8
t109,u_demo,a_checking,2024-04-01,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,12715.8
t126,u_demo,a_checking,2024-04-01,-26.58,Chipotle,CHIPOTLE 8343,restaurants,false,5812,synthetic,12689.2
t111,u_demo,a_checking,2024-04-02,-1500.0,Landlord,MONTHLY RENT,housing,true,6513,synthetic,11189.2
t118,u_demo,a_checking,2024-04-03,-135.54,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic,11053.6
t120,u_demo,a_checking,2024-04-03,-52.16,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic,11001.5
t123,u_demo,a_checking,2024-04-03,-34.86,Chevron,CHEVRON OIL 3733,gas,false,5541,synthetic,10966.6
t129,u_demo,a_checking,2024-04-04,-12.13,Local Diner,LOCAL DINER 3368,restaurants,false,5812,synthetic,10954.5
t115,u_demo,a_credit,2024-04-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic,385.15
t116,u_demo,a_credit,2024-04-06,-7.99,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic,377.16
t117,u_demo,a_credit,2024-04-07,-2.99,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic,374.17
t136,u_demo,a_checking,2024-04-08,-4.22,Starbucks,STARBUCKS 4124,coffee,false,5814,synthetic,10950.3
t112,u_demo,a_checking,2024-04-10,-80.0,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic,10870.3
t127,u_demo,a_checking,2024-04-10,-17.69,Local Diner,LOCAL DINER 6986,restaurants,false,5812,synthetic,10852.6
t113,u_demo,a_checking,2024-04-12,-60.0,Comcast,HOME INTERNET,internet,true,4816,synthetic,10792.6
t137,u_demo,a_checking,2024-04-12,-5.06,Starbucks,STARBUCKS 1004,coffee,false,5814,synthetic,10787.5
t138,u_demo,a_checking,2024-04-13,-35.86,Lyft,LYFT TRIP 8027,rideshare,false,4121,synthetic,10751.7
t114,u_demo,a_checking,2024-04-14,-45.0,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic,10706.7
t130,u_demo,a_checking,2024-04-14,-20.14,Local Diner,LOCAL DINER 7002,restaurants,false,5812,synthetic,10686.5
t110,u_demo,a_checking,2024-04-15,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,13186.5
t124,u_demo,a_checking,2024-04-15,-37.0,Chevron,CHEVRON OIL 2686,gas,false,5541,synthetic,13149.5
t122,u_demo,a_checking,2024-04-18,-72.21,Shell,SHELL OIL 6854,gas,false,5541,synthetic,13077.3
t134,u_demo,a_checking,2024-04-22,-6.7,Starbucks,STARBUCKS 5777,coffee,false,5814,synthetic,13070.6
t135,u_demo,a_checking,2024-04-22,-4.47,Starbucks,STARBUCKS 3491,coffee,false,5814,synthetic,13066.1
t139,u_demo,a_credit,2024-04-23,-190.38,Amazon,AMZN Mktp US*H5465,shopping,false,5942,synthetic,183.79
t128,u_demo,a_checking,2024-04-24,-10.16,Local Diner,LOCAL DINER 6625,restaurants,false,5812,synthetic,13056
t132,u_demo,a_checking,2024-04-25,-5.44,Starbucks,STARBUCKS 4769,coffee,false,5814,synthetic,13050.5
t141,u_demo,a_credit,2024-04-26,-46.69,Amazon,AMZN Mktp US*E9308,shopping,false,5942,synthetic,137.1
t125,u_demo,a_checking,2024-04-27,-46.13,Chevron,CHEVRON OIL 2409,gas,false,5541,synthetic,13004.4
t131,u_demo,a_checking,2024-04-28,-27.35,Panera Bread,PANERA BREAD 6919,restaurants,false,5812,synthetic,12977.1
t119,u_demo,a_checking,2024-04-29,-136.83,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,12840.2
t121,u_demo,a_checking,2024-04-29,-125.86,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,12714.4
t133,u_demo,a_checking,2024-04-29,-5.66,Starbucks,STARBUCKS 7293,coffee,false,5814,synthetic,12708.7
t140,u_demo,a_credit,2024-04-30,-163.06,Amazon,AMZN Mktp US*H1830,shopping,false,5942,synthetic,-25.96
t142,u_demo,a_checking,2024-05-01,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,15208.7
t144,u_demo,a_checking,2024-05-02,-1500.0,Landlord,MONTHLY RENT,housing,true,6513,synthetic,13708.7
t168,u_demo,a_checking,2024-05-02,-6.07,Starbucks,STARBUCKS 9945,coffee,false,5814,synthetic,13702.6
t158,u_demo,a_checking,2024-05-04,-21.96,Chipotle,CHIPOTLE 5452,restaurants,false,5812,synthetic,13680.7
t171,u_demo,a_credit,2024-05-04,-227.55,Target,TARGET #6745,shopping,false,5311,synthetic,-253.51
t174,u_demo,a_credit,2024-05-04,-531.5,United Airlines,UA 170640,travel,false,4511,synthetic,-785.01
t148,u_demo,a_credit,2024-05-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic,-798
t149,u_demo,a_credit,2024-05-06,-7.99,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic,-805.99
t150,u_demo,a_credit,2024-05-07,-2.99,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic,-808.98
t166,u_demo,a_checking,2024-05-08,-3.93,Starbucks,STARBUCKS 4913,coffee,false,5814,synthetic,13676.8
t177,u_demo,a_checking,2024-05-09,230.51,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,13907.3
t145,u_demo,a_checking,2024-05-10,-80.0,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic,13827.3
t159,u_demo,a_checking,2024-05-10,-17.83,Local Diner,LOCAL DINER 3849,restaurants,false,5812,synthetic,13809.4
t160,u_demo,a_checking,2024-05-10,-25.03,Panera Bread,PANERA BREAD 3489,restaurants,false,5812,synthetic,13784.4
t173,u_demo,a_credit,2024-05-10,-346.87,Amazon,AMZN Mktp US*H3786,shopping,false,5942,synthetic,-1155.85
t146,u_demo,a_checking,2024-05-12,-60.0,Comcast,HOME INTERNET,internet,true,4816,synthetic,13724.4
t155,u_demo,a_checking,2024-05-12,-37.93,Chevron,CHEVRON OIL 2679,gas,false,5541,synthetic,13686.5
t165,u_demo,a_checking,2024-05-12,-6.69,Starbucks,STARBUCKS 9002,coffee,false,5814,synthetic,13679.8
t153,u_demo,a_checking,2024-05-13,-135.71,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,13544.1
t147,u_demo,a_checking,2024-05-14,-45.0,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic,13499.1
t143,u_demo,a_checking,2024-05-15,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,15999.1
t162,u_demo,a_checking,2024-05-16,-38.21,Panera Bread,PANERA BREAD 7303,restaurants,false,5812,synthetic,15960.9
t178,u_demo,a_checking,2024-05-16,114.01,Venmo,VENMO CASHIN,transfer,false,6011,synthetic,16074.9
t169,u_demo,a_checking,2024-05-17,-4.73,Starbucks,STARBUCKS 9967,coffee,false,5814,synthetic,16070.1
t163,u_demo,a_checking,2024-05-18,-3.58,Starbucks,STARBUCKS 3427,coffee,false,5814,synthetic,16066.6
t156,u_demo,a_checking,2024-05-22,-34.71,Shell,SHELL OIL 6188,gas,false,5541,synthetic,16031.9
t176,u_demo,a_checking,2024-05-23,-195.38,Kaiser,Kaiser Permanente,healthcare,false,8011,synthetic,15836.5
t161,u_demo,a_checking,2024-05-24,-28.48,Panera Bread,PANERA BREAD 5611,restaurants,false,5812,synthetic,15808
t151,u_demo,a_checking,2024-05-26,-87.02,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic,15721
t170,u_demo,a_checking,2024-05-26,-27.12,Lyft,LYFT TRIP 1417,rideshare,false,4121,synthetic,15693.9
t164,u_demo,a_checking,2024-05-29,-6.69,Starbucks,STARBUCKS 3738,coffee,false,5814,synthetic,15687.2
t167,u_demo,a_checking,2024-05-29,-3.45,Starbucks,STARBUCKS 5107,coffee,false,5814,synthetic,15683.7
t172,u_demo,a_credit,2024-05-29,-113.07,Amazon,AMZN Mktp US*A8164,shopping,false,5942,synthetic,-1268.92
t152,u_demo,a_checking,2024-05-30,-62.37,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,15621.3
t157,u_demo,a_checking,2024-05-30,-54.58,Chevron,CHEVRON OIL 7617,gas,false,5541,synthetic,15566.8
t175,u_demo,a_checking,2024-05-30,-90.11,Kaiser,Kaiser Permanente,healthcare,false,8011,synthetic,15476.7
t154,u_demo,a_checking,2024-05-31,-50.98,Shell,SHELL OIL 8004,gas,false,5541,synthetic,15425.7
t179,u_demo,a_checking,2024-06-01,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,17925.7
t181,u_demo,a_checking,2024-06-02,-1500.0,Landlord,MONTHLY RENT,housing,true,6513,synthetic,16425.7
t188,u_demo,a_checking,2024-06-04,-131.01,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,16294.7
t202,u_demo,a_checking,2024-06-04,-6.19,Starbucks,STARBUCKS 4141,coffee,false,5814,synthetic,16288.5
t185,u_demo,a_credit,2024-06-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic,-1281.91
t191,u_demo,a_checking,2024-06-05,-46.43,Shell,SHELL OIL 5491,gas,false,5541,synthetic,16242
t186,u_demo,a_credit,2024-06-06,-7.99,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic,-1289.9
t210,u_demo,a_credit,2024-06-06,-34.24,Best Buy,BESTBUY #7316,electronics,false,5732,synthetic,-1324.14
t187,u_demo,a_credit,2024-06-07,-2.99,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic,-1327.13
t194,u_demo,a_checking,2024-06-07,-23.25,Local Diner,LOCAL DINER 5729,restaurants,false,5812,synthetic,16218.8
t201,u_demo,a_checking,2024-06-07,-5.66,Starbucks,STARBUCKS 5312,coffee,false,5814,synthetic,16213.1
t204,u_demo,a_checking,2024-06-07,-4.12,Starbucks,STARBUCKS 5186,coffee,false,5814,synthetic,16209
t207,u_demo,a_checking,2024-06-08,-51.5,Uber,UBER TRIP 4072,rideshare,false,4121,synthetic,16157.5
t182,u_demo,a_checking,2024-06-10,-80.0,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic,16077.5
t198,u_demo,a_checking,2024-06-10,-31.19,Chipotle,CHIPOTLE 7938,restaurants,false,5812,synthetic,16046.3
t183,u_demo,a_checking,2024-06-12,-60.0,Comcast,HOME INTERNET,internet,true,4816,synthetic,15986.3
t189,u_demo,a_checking,2024-06-12,-135.9,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,15850.4
t196,u_demo,a_checking,2024-06-12,-28.55,Panera Bread,PANERA BREAD 1953,restaurants,false,5812,synthetic,15821.9
t184,u_demo,a_checking,2024-06-14,-45.0,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic,15776.9
t180,u_demo,a_checking,2024-06-15,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,18276.9
t200,u_demo,a_checking,2024-06-16,-6.66,Starbucks,STARBUCKS 2365,coffee,false,5814,synthetic,18270.2
t209,u_demo,a_checking,2024-06-17,-42.65,Uber,UBER TRIP 1823,rideshare,false,4121,synthetic,18227.6
t213,u_demo,a_checking,2024-06-17,108.9,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,18336.5
t203,u_demo,a_checking,2024-06-19,-4.7,Starbucks,STARBUCKS 7588,coffee,false,5814,synthetic,18331.8
t205,u_demo,a_checking,2024-06-19,-3.05,Starbucks,STARBUCKS 5268,coffee,false,5814,synthetic,18328.7
t212,u_demo,a_checking,2024-06-19,-65.09,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,18263.6
t190,u_demo,a_checking,2024-06-20,-105.02,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,18158.6
t211,u_demo,a_checking,2024-06-21,-233.01,City Dental,CITY DENTAL,healthcare,false,8011,synthetic,17925.6
t195,u_demo,a_checking,2024-06-23,-13.51,Panera Bread,PANERA BREAD 9010,restaurants,false,5812,synthetic,17912.1
t193,u_demo,a_checking,2024-06-25,-24.83,Chipotle,CHIPOTLE 8860,restaurants,false,5812,synthetic,17887.3
t192,u_demo,a_checking,2024-06-27,-77.31,Shell,SHELL OIL 8651,gas,false,5541,synthetic,17809.9
t206,u_demo,a_checking,2024-06-28,-3.25,Starbucks,STARBUCKS 4709,coffee,false,5814,synthetic,17806.7
t208,u_demo,a_checking,2024-06-28,-33.74,Lyft,LYFT TRIP 1504,rideshare,false,4121,synthetic,17773
t197,u_demo,a_checking,2024-06-29,-31.03,Local Diner,LOCAL DINER 6293,restaurants,false,5812,synthetic,17741.9
t199,u_demo,a_checking,2024-06-29,-7.44,Starbucks,STARBUCKS 6541,coffee,false,5814,synthetic,17734.5
t214,u_demo,a_checking,2024-07-01,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,20234.5
t234,u_demo,a_checking,2024-07-01,-7.44,Starbucks,STARBUCKS 3193,coffee,false,5814,synthetic,20227
t216,u_demo,a_checking,2024-07-02,-1500.0,Landlord,MONTHLY RENT,housing,true,6513,synthetic,18727
t231,u_demo,a_checking,2024-07-03,-22.5,Local Diner,LOCAL DINER 6713,restaurants,false,5812,synthetic,18704.5
t220,u_demo,a_credit,2024-07-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic,-1340.12
t232,u_demo,a_checking,2024-07-05,-37.98,Panera Bread,PANERA BREAD 1009,restaurants,false,5812,synthetic,18666.6
t221,u_demo,a_credit,2024-07-06,-7.99,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic,-1348.11
t239,u_demo,a_checking,2024-07-06,-42.99,Lyft,LYFT TRIP 3000,rideshare,false,4121,synthetic,18623.6
t240,u_demo,a_credit,2024-07-06,-273.77,Best Buy,BESTBUY #8190,electronics,false,5732,synthetic,-1621.88
t222,u_demo,a_credit,2024-07-07,-2.99,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic,-1624.87
t225,u_demo,a_checking,2024-07-08,-55.14,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,18568.4
t227,u_demo,a_checking,2024-07-08,-59.18,Chevron,CHEVRON OIL 8483,gas,false,5541,synthetic,18509.3
t242,u_demo,a_checking,2024-07-09,-100.29,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,18409
t217,u_demo,a_checking,2024-07-10,-80.0,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic,18329
t241,u_demo,a_checking,2024-07-10,-91.94,City Dental,CITY DENTAL,healthcare,false,8011,synthetic,18237
t224,u_demo,a_checking,2024-07-11,-135.29,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,18101.7
